Feature,Importance
cat__Customer City_Lenoir,0.00022086001159042534
cat__Customer City_Algonquin,0.00022010863738892717
cat__Customer City_Marietta,0.0002198468562849432
cat__Order State_Ankara,0.00021924159519580026
cat__Customer City_Spring Valley,0.00021918302530258361
cat__Order State_Ontario,0.0002191672819756965
cat__Customer City_Jacksonville,0.00021908668015842693
cat__Customer City_Chula Vista,0.0002188183799186141
cat__Order City_Choloma,0.00021824420993874397
cat__Customer City_Weslaco,0.00021752496789151975
cat__Order City_Chinandega,0.00021720907371867377
cat__Customer City_Oceanside,0.00021715114637953304
cat__Customer City_Pomona,0.00021596314603588025
cat__Order Region_Central Asia,0.00021543033604184522
cat__Order State_Oregón,0.00021526738390940069
cat__Order State_Riad,0.00021513384611663078
cat__Customer City_Oxnard,0.00021504325714941544
cat__Customer City_San Bernardino,0.00021433878966185008
cat__Category Name_Women's Clothing,0.0002142501650595382
cat__Customer City_Brownsville,0.00021397224955432403
cat__Customer City_Winnetka,0.00021338043374607367
cat__Order City_Lowestoft,0.00021327825104043932
cat__Order Country_Irlanda,0.00021306940195991932
cat__Order City_David,0.00021247471901113358
cat__Order City_Bangalore,0.0002124030314499289
cat__Category Name_Boxing & MMA,0.00021158285669758495
cat__Order State_Gran Casablanca,0.0002110856161518829
cat__Customer City_Encinitas,0.00021094309604216652
cat__Customer City_Jamaica,0.00021026583568607758
cat__Category Name_Kids' Golf Clubs,0.00020995925521498764
cat__Order Country_Dinamarca,0.00020941209251461686
cat__Customer City_Mission Viejo,0.00020911236086502443
cat__Customer City_Catonsville,0.00020808822575213838
cat__Customer City_Lake Forest,0.00020799305368679585
cat__Customer City_Jersey City,0.00020781792405054304
cat__Order State_Marañón,0.000207791735485342
cat__Order City_Riyadh,0.00020778381723911
cat__Order City_Lyon,0.00020750577874409156
cat__Customer City_Wichita,0.00020740756116597328
cat__Order State_La Romana,0.0002072733577097325
cat__Order Country_Noruega,0.0002064159540389551
cat__Order State_Sumatra Septentrional,0.00020616124103141662
cat__Customer City_Wyoming,0.0002055913465908127
cat__Customer City_Bend,0.00020552907296322984
cat__Order City_Columbia,0.00020552889215536514
cat__Customer City_Roswell,0.00020512023736380392
cat__Order City_San Antonio,0.00020501300514593322
cat__Category Name_Hockey,0.0002042674975667539
cat__Order City_Casablanca,0.0002042616156892496
cat__Order State_Turingia,0.00020415945549059997
cat__Order City_Geelong,0.0002041109881474512
cat__Order City_Culiacán,0.00020367619385376244
cat__Customer City_Rowland Heights,0.00020322835855973433
cat__Order State_León,0.0002030937265190643
cat__Customer City_Anaheim,0.00020275016036851965
cat__Order State_País Vasco,0.00020239195621370143
cat__Order State_Kano,0.00020232401154170846
cat__Order City_Sheffield,0.00020190558088398102
cat__Customer City_West Chester,0.00020179221009535632
cat__Order State_Centro-Valle de Loira,0.0002013387308898298
cat__Order State_Maryland,0.0002012652989258461
cat__Order City_Kinshasa,0.0002003764381160075
cat__Customer City_Mission,0.00020025581832324064
cat__Customer City_San Marcos,0.00020011454944038887
cat__Customer City_Chesapeake,0.0001998002214334
cat__Order State_Bremen,0.00019958913917533203
cat__Customer City_Huntington Beach,0.00019936274337833948
cat__Order City_Granada,0.00019933939000716
cat__Customer City_Fontana,0.0001988990924556965
cat__Order City_Louisville,0.00019828242163339168
cat__Customer City_Elgin,0.00019827575063562802
cat__Customer City_Gardena,0.0001969989861103104
cat__Customer City_Staten Island,0.00019678723417910506
cat__Order City_Rochester,0.00019667374002584547
cat__Order State_San Luis Potosí,0.0001966218275843174
cat__Order City_Mumbai,0.00019624299087421626
cat__Customer City_Irwin,0.00019622817435593288
cat__Customer City_Walnut,0.00019584072846750566
cat__Order City_Kano,0.0001956218798581619
cat__Order Country_Israel,0.0001955101264764893
cat__Customer City_Van Nuys,0.00019544457485450367
cat__Order City_Wellington,0.00019501342611435171
cat__Customer City_Apex,0.0001949898457803072
cat__Order State_Granma,0.00019488884227096906
cat__Customer City_Arlington,0.00019479648953266683
cat__Order City_San Francisco de Macorís,0.00019457673323413448
cat__Order City_Chinautla,0.00019445784022521564
cat__Order City_Arlington,0.00019393928448840767
cat__Order State_Duarte,0.00019386969094564805
cat__Order State_Dublín,0.00019378598249419896
cat__Order State_Anhui,0.0001935690038511104
cat__Order City_Suzhou,0.00019330133149431602
cat__Order Country_Tanzania,0.00019318791330039117
cat__Order State_Kinshasa,0.00019236416041004974
cat__Order State_Chinandega,0.00019222550788209833
cat__Category Name_Golf Apparel,0.000191833714798728
cat__Order City_Chihuahua,0.00019183042681204912
cat__Order State_Sonora,0.00019152924378503962
cat__Customer City_San Juan,0.0001913545883621632
cat__Order City_Manukau City,0.00019105548874574608
cat__Order City_Leeds,0.0001909533122729155
cat__Order State_Guyarat,0.00019019587236680262
cat__Order City_Semarang,0.00018988734436134442
cat__Customer City_Bayamon,0.00018921537705145225
cat__Customer City_Modesto,0.00018735128728387333
cat__Order State_Java Central,0.00018689866377942803
cat__Customer City_Greeley,0.00018655453888675948
cat__Customer City_Bridgeton,0.00018647610302205048
cat__Order City_Cancún,0.0001858630522504732
cat__Order City_Miami,0.00018581291570375148
cat__Customer City_Florissant,0.0001852725644429844
cat__Order City_Richmond,0.00018521170892145925
cat__Order City_Daca,0.00018520041597043329
cat__Order State_Daca,0.00018506265047475896
cat__Customer City_Austin,0.00018497046800349797
cat__Order City_Shanghái,0.00018415258263308274
